id,exp_comment,emotion_raw,emotion
6,its not alluring,5,calm
7,A hopefuls message,3,hopeful
12,I like seeing the patterns,5,calm
14,Still dosent make any difference probably a calm before the storm before price sky rocket,2,anxious
20,"This post is very informative, it helped me feel more knowledgeable about how much prices have increased in past three years.",5,calm
23,INVEST IN CRYPTO AND GET RICH,3,hopeful
24,bad life,1,angry
26,no,99,NA
30,How is the inflation going down when things are still cost?,2,anxious
33,I am not sure,2,anxious
40,It’s not gonna change anything for young people,2,anxious
42,theres an urgent need for change,2,anxious
44,i hope it has come down as im really affected by the cost of living crisis to the point i cant afford to feed myself for the whole month,3,hopeful
46,I agree with it,5,calm
50,It needs further proof,2,anxious
52,I am not hopfyl,2,anxious
53,Wouldn’t really make a change,5,calm
55,Equality for all.,3,hopeful
56,not sure,2,anxious
57,Unsure,2,anxious
58,Good to see prices coming down,4,happy
59,so true,5,calm
60,This sounds good,4,happy
61,Not sure,2,anxious
63,Seems good but I wouldnt be so optimistic just yet,2,anxious
66,This is very concerning!,2,anxious
70,Will this mean cost of living with slowly decrease?,3,hopeful
72,"With prices the way they are and wages not getting higher, im worried how ill afford things in the future",2,anxious
73,"Inflation is crazy, I cannot believe how expensive everything is getting. My food shop is so expensive and my cupboards are half as full as they used to be",1,angry
75,Nothing,99,NA
77,Oh dear.,2,anxious
78,The cost of living is so high I'm not sure if I could afford to live in the next few years,2,anxious
79,Young people are most at risk of being diminished by the government,2,anxious
81,Interesting to see this viewpoint,5,calm
83,Being optimistic is always the way,3,hopeful
84,cant afford things anymore,2,anxious
88,A rally good thing that,4,happy
89,i think i would say something about the lack of help their sowing,1,angry
93,I wouldn't,99,NA
98,"My maintenance loan doesn’t cover my rent, I can’t get a job (I’ve applied to about 200), I have no hope for the future",2,anxious
99,Hemsh,99,NA
101,I want to leave the uk,2,anxious
103,It’s probably not shifting fast enough though,2,anxious
104,"Rip, we’re not getting houses",2,anxious
105,Don't know,99,NA
107,Interesting,5,calm
108,Nothing,99,NA
109,So true and accurate,5,calm
110,It is very worrysome and raising anxiety,2,anxious
112,Nope,99,NA
114,Interesting,5,calm
118,Yes,99,NA
119,things are getting better,3,hopeful
120,Nothing,99,NA
121,Ridiculous,1,angry
122,"the rising cost of living is simply from corporate greed and exploitation, there is no 'crisis' its intentional",1,angry
124,It’s still not enough though,2,anxious
125,Cost of living has increased rapidly with inflation coming down it could make us hopeful for better change but things arent always as predictable,3,hopeful
126,it’s always good to be informed on situations like this,5,calm
127,I don't know,99,NA
128,I wouldn't comment.,99,NA
129,i wouldn’t,99,NA
131,It’s hard to feel hopeful when even the NHS aren’t getting money from the government,2,anxious
132,"This is good,but is it true",2,anxious
133,why are wages not increasing just as inflation is,2,anxious
134,"I am worried about being able to afford things in the future , like a house.",2,anxious
135,The future of the uk economy is bad.,2,anxious
136,I am happy to see some optimism in politics because it feels as though usually political issues are constantly arising,4,happy
138,nothing,99,NA
140,Everything is getting expensive,2,anxious
147,Great informative post,4,happy
148,Bit misleading since inflation has come down from its high but not lowered past where it was prior to the increase.,5,calm
149,Sad,99,NA
150,Is that really true??,2,anxious
151,The uk is finished,1,angry
152,i like the statistics,4,happy
153,something needs to change,2,anxious
155,Not sure,2,anxious
156,It doesn't feel this way,2,anxious
157,The future is still uncertain and we cant predict much,2,anxious
158,Cost of living crisis,2,anxious
159,Where did this data come from?,5,calm
164,Really interesting take that needs more research,3,hopeful
167,i wouldnt comment,99,NA
169,It is a good thing that the rate of inflation is dropping and i hope it continues that way,3,hopeful
172,I’m sure we can turn it around we just need to trust the process!,3,hopeful
173,Things need to be fixed the UK is broken,1,angry
176,This is sad,99,NA
177,I do not comment on social media,99,NA
178,Likely another lie.,1,angry
179,THE ECONOMY ISNT REALLY FAVORABLE TO ORDINARY YOUNG WORKING PEOPLE HOPING TO MAKE SOMETHING REALLY GOOD OUT FOR THEMSELVES,2,anxious
181,no comment,99,NA
182,I have no idea,99,NA
