id,exp_comment,sentiment_score
6,its not alluring,3
7,A hopefuls message,6
12,I like seeing the patterns,6
14,Still dosent make any difference probably a calm before the storm before price sky rocket,5
20,"This post is very informative, it helped me feel more knowledgeable about how much prices have increased in past three years.",6
23,INVEST IN CRYPTO AND GET RICH,99
24,bad life,1
26,no,99
30,How is the inflation going down when things are still cost?,3
33,I am not sure,99
40,It’s not gonna change anything for young people,2
42,theres an urgent need for change,3
44,i hope it has come down as im really affected by the cost of living crisis to the point i cant afford to feed myself for the whole month,2
46,I agree with it,4
50,It needs further proof,4
52,I am not hopfyl,2
53,Wouldn’t really make a change,3
55,Equality for all.,7
56,not sure,99
57,Unsure,99
58,Good to see prices coming down,6
59,so true,5
60,This sounds good,6
61,Not sure,99
63,Seems good but I wouldnt be so optimistic just yet,4
66,This is very concerning!,2
70,Will this mean cost of living with slowly decrease?,4
72,"With prices the way they are and wages not getting higher, im worried how ill afford things in the future",2
73,"Inflation is crazy, I cannot believe how expensive everything is getting. My food shop is so expensive and my cupboards are half as full as they used to be",2
75,Nothing,99
77,Oh dear.,2
78,The cost of living is so high I'm not sure if I could afford to live in the next few years,2
79,Young people are most at risk of being diminished by the government,2
81,Interesting to see this viewpoint,5
83,Being optimistic is always the way,7
84,cant afford things anymore,2
88,A rally good thing that,6
89,i think i would say something about the lack of help their sowing,2
93,I wouldn't,99
98,"My maintenance loan doesn’t cover my rent, I can’t get a job (I’ve applied to about 200), I have no hope for the future",1
99,Hemsh,99
101,I want to leave the uk,2
103,It’s probably not shifting fast enough though,3
104,"Rip, we’re not getting houses",2
105,Don't know,99
107,Interesting,5
108,Nothing,99
109,So true and accurate,6
110,It is very worrysome and raising anxiety,2
112,Nope,99
114,Interesting,5
118,Yes,99
119,things are getting better,6
120,Nothing,99
121,Ridiculous,1
122,"the rising cost of living is simply from corporate greed and exploitation, there is no 'crisis' its intentional",2
124,It’s still not enough though,3
125,Cost of living has increased rapidly with inflation coming down it could make us hopeful for better change but things arent always as predictable,4
126,it’s always good to be informed on situations like this,6
127,I don't know,99
128,I wouldn't comment.,99
129,i wouldn’t,99
131,It’s hard to feel hopeful when even the NHS aren’t getting money from the government,2
132,"This is good,but is it true",4
133,why are wages not increasing just as inflation is,3
134,"I am worried about being able to afford things in the future , like a house.",2
135,The future of the uk economy is bad.,2
136,I am happy to see some optimism in politics because it feels as though usually political issues are constantly arising,6
138,nothing,99
140,Everything is getting expensive,2
147,Great informative post,7
148,Bit misleading since inflation has come down from its high but not lowered past where it was prior to the increase.,3
149,Sad,2
150,Is that really true??,4
151,The uk is finished,1
152,i like the statistics,6
153,something needs to change,3
155,Not sure,99
156,It doesn't feel this way,3
157,The future is still uncertain and we cant predict much,4
158,Cost of living crisis,2
159,Where did this data come from?,4
164,Really interesting take that needs more research,6
167,i wouldnt comment,99
169,It is a good thing that the rate of inflation is dropping and i hope it continues that way,6
172,I’m sure we can turn it around we just need to trust the process!,6
173,Things need to be fixed the UK is broken,2
176,This is sad,2
177,I do not comment on social media,99
178,Likely another lie.,1
179,THE ECONOMY ISNT REALLY FAVORABLE TO ORDINARY YOUNG WORKING PEOPLE HOPING TO MAKE SOMETHING REALLY GOOD OUT FOR THEMSELVES,2
181,no comment,99
182,I have no idea,99
185,I don't use Instagram and wouldn't reply to this kind of post,99
186,Determination of costs of living,4
187,Idc,99
188,it has views of most citizens,4
191,A task force to track retailers and wholesaler sales and suppress inflation,5
192,"Inflation coming down is a step closer to things getting better, am highly optimistic",7
194,"I would say that even though the statistics show the optimism to be a low rate , I believe that it cold increase leading to many issues",3
195,It’s good inflation has come down this time. It’s really difficult for the ordinary person.,5
196,Nothing,99
201,"Despite the challenges we face,l believe there is a reason for hope that things will get better.",6
206,"It's just bad, as usual.",1
208,The rising cost of living is alarming. I hope the government does something about it.,3
212,It is a disgrace,1
214,Oh no,2
220,I’m not sure,99
221,I wouldn’t comment,99
222,Interesting and cool,6
223,This is worrying,2
224,"I think theres still a very strong chance to turn things around for us young people, im hopeful it will get better",6
226,The are nice,6
227,"With the way inflation went down, I see a change in the cost of living.",5
228,I think the government can do better,3
229,purrr,99
230,Cost of living is terrible,1
232,THE UK ECONOMY IS GOING DOWN,1
234,Nice to know about what's going on,6
235,I wouldn’t,99
236,Finally some positive news. Let's hope this trend continues and wages start to catch up,6
238,Hoping for the best,6
240,Finally the government are getting wise enough to see that people are going through a lot and decided to reduce the cost of things and I pray the cost of things do not go high again,6
245,Not sure,99
246,Things are bad but we believe it will get better in future,4
247,What is your source,99
249,"The way things are going is only getting worse, optimism or ignorance",2
253,I'm impressed,7
257,I would not,99
259,None,99
260,Things will always get better,7
261,hell those in need,99
263,"Uk as being being facing different kind of challenges for past three year, but the fact the the inflation reduce for the first time in three months shows the the government are working and they will put everything in places soon",6
265,Let is keep being optimistic,6
266,That the changes are now becoming to much to the citizens,2
267,"That is a nice shift to the cost of living, maybe the government is finally adjusting",6
269,I don't see any end to the cost of living crisis.,2
277,I am so worried about the future of the country if inflation persists.,2
281,Yes things are actually going down but I try to believe the government and technology would fix this,5
282,Sorry state of affairs,2
283,I think the government of UK should look into this and make things better for the people and residents of UK.,4
284,Let's be hopeful,6
285,Is good to stay optimistic,6
286,There a great need for drastic changes.,3
287,If the government stop sending money to isnotreal we have more money,2
288,The cost of living is ruining lives honestly and it’s only getting worse,1
289,"If nothing is done to keep going on the right direction, it may well collapse altogether",2
293,Nothing is,99
296,"Things will get better, i am optimistic.",6
300,the government is responsible in part for the current cost of living crisis and needs to do more to help young people,3
303,nothing,99
304,"Cost of living concerns, young people cry out about the concerns of their future",2
307,The government intervention is required in the situation,4
310,I wouldn’t leave a comment,99
313,I am worried about what is next,2
314,i agree,4
315,It won’t get better,2
321,"That youthful optimism is powerful; it's a great sign that despite real challenges, young people see potential in the future, especially with inflation finally cooling. Hope can fuel the resilience and innovation needed for long-term recovery.",6
323,I wouldn’t comment,99
324,The UK isn't acting as a good country,2
325,"I can just get pregnant, have a child, and then the council will legally have to provide accommodation for me and my partner. Raise the cost all you want, my ovaries work fine.",2
326,The economy is falling,2
327,Oligarchs and rentals need to change,3
330,Intense,5
333,i wouldn’t,99
335,"This is information i didn’t know, and I feel better for knowing it. I think cost of living reports should be posted regularly",6
336,tax the rich x,4
337,I'm not sure,99
340,Idk,99
342,Interesting,5
343,i have nothing to comment,99
345,I would not leave  comment,99
349,Always keep hope,6
351,As a young person neither I nor anyone I know feels optimostic about their own future or that or the country.,2
352,i wouldn’t,99
353,we need more help,3
357,I actually believe prices will be back after the feast period.,5
361,Things are just getting worse and worse.,1
362,n/a,99
363,I wouldn't.,99
364,It’s so important that politics is made accessible to people of all ages,7
365,I’m surprised the Uk hasn’t bothered to make improvements instead of building new buildings.,3
368,Its getting too much,2
370,They need to tax the rich.,4
371,Great ?,7
374,Not  bad,5
375,The uk needs to improve,4
376,"How accurate would this be? Changes are obviously a good thing, but i find it unrealistic.",3
378,Nothing,99
380,To reduce costs of living. Because increase of thifes to be able to reduce Because of lack of job.,3
382,Deport,1
383,This is exactly what we need for change,7
385,Yippee,7
386,Good update,6
387,As a young person growing up in this climate and looking to potentially find employment after university this is worrying,2
389,Oh no,2
390,FACTS,99
393,how bad the pricings actually going up,2
394,Nice view,6
401,"Even if inflation came down a bit, people would start seeing the effects financially in other ways. At some point, it will increase but with higher effects.",3
403,Nothing relevant,99
404,How much of an issue cost of living is for the uk as its making people not have much money spare,3
406,this is a large concern within the UK,4
416,Interesting,5
417,It's interesting to see how the trends would shift going forward. Itd also be a good idea to keep an eye out on this,5
421,it doesn’t feel like it’s gone down.,3
422,Just Lowe it,4
424,“As a young person myself I agree I am scared for my future and what the country is going to turn out like”,2
425,I wouldn’t leave one,99
428,its bad,1
430,nothing,99
432,Things keep getting worse,2
433,N/A,99
440,N/A,99
441,None at the moment,99
443,This news is shocking,4
446,"It it the first time in years, its not really a good thing It should be reduced",3
447,hopefully inflation pauses now,5
449,Not fair,2
450,Prices are getting quite high and uncontrollable,2
451,The government could do better,3
452,It’s a real concern,3
453,things will get better over time,6
464,Wagwan,99
469,Nothing,99
471,agreed,4
472,Nice,6
474,Everything is so expensive and the size is shrinking,2
477,Not good enough,2
478,Not comment,99
479,The world is not improving,2
480,Continuation of the trauma,2
485,Looks like my savings won't get devoured lol,6
489,With the way cost of living is continuously rising it leaves you feeling uncertain of your own future,2
490,That's great news,7
496,Congratulations. Keep up the good work,7
498,I wouldn’t comment,99
500,We need to take care of the economy and put effort into our economy,5
502,Skibidi,99
504,I dont write comments,99
505,Dont know.,99
508,It’s awful right now.,1
511,The futures unsure,3
513,The cost of living needs to be lowered,3
521,N/A,99
522,It's really surprising how inflation came down this is really amazing,6
525,This seems interesting,5
526,NA,99
529,"This post does not show how much inflation came down, which could be misleading",3
530,unsure,99
531,shlawg i aint harldy care bout none of ts,2
536,We have to see,4
543,It’s trud,99
547,This is wrong Information inflation has increased even more,2
549,I agree on the reports,5
551,I wouldn’t leave a comment,99
552,We really need a breakthrough and soon,3
554,I feel it’s a very significant change,6
555,the report is useful,6
556,This news shocked me,4
563,Overpopulation,2
567,amazing,7
571,"Money is important, but more important is educating ourselves on what to do with it",6
572,ok,99
573,"I think the increase in cost of living is just for a short period of time. With time, I'm optimistic  things will get better.",6
574,true,99
576,No,99
578,i believe everything will turn out better,7
580,Wow,4
591,"I'm worried about my future but hopefully with better communication and hard working with all the available resources, people can live off well.",5
594,The uk stop inflating prices,2
596,There must be changes made,3
597,It’ll only go up again,3
603,that is good,6
604,Why is there inflation? And what would the government do about it?,99
609,To everyone to be kind,7
610,To be honest its been heting worse with no way to stop it.,2
611,The government don’t care about young people and just want to get richer and divide.,1
612,This is shocking,2
614,Not surprised,4
615,There are bigger problems,3
616,Families will have to start house sharing in the future nobody will be able to live soon prices are just too high,2
618,Let’s see what happens and hope for the best.,5
619,Yep we're cooked chat,2
623,Things are looking up,6
625,Thank God,7
626,"I don’t believe anything I see till I really see change, with the minimal decrease, it doesn’t make a huge difference. Things are still expensive and will be for months on so I’m not moved or even happy with this.",2
627,I would not comment,99
631,"its good that these results are being shared with the public, gives a good changing presence into society",6
635,This information is helpful,6
640,No one is optimistic about this,2
643,"Praying for the younger generations, I hope theyre recognised and regarded",6
647,cost of living is ridiculous as everyone in low income houses are struggling,2
649,Interesting ?,4
650,Housing prices increased immensely won’t ever afford it,2
651,Glad to see there is some change in our country,6
653,Ofc they did it again,2
654,hoping that inflation goes down even more soon,5
657,Yeah true,4
659,The rises in inflation lately are ridiculous! How are normal people like me meant to ever afford things in the real world?,1
660,Inflation will increase again giving younger generations false hope,2
663,The decrease isn’t enough!,2
665,Cost of living it a joke,2
666,"it is crazy how much the cost of living has gone up, and the lack of support for the next generation coming through has drastically decreased.",2
670,Not suprising,4
671,A great idea,7
673,It shouldn’t be right to be costing family’s loads to live. And only to live. Time to change it. I can’t wait to see the change Happening,3
675,I wouldn't write anything as political topics dont intrest me and are very boring the only thing i care abt in politics is that the lgbtq should be free to live,4
676,I sometime feel like I'm working my head off just to cover the basics. Something's got to give,2
677,Things will get better we can do this,6
679,Thanks for updating us.,6
680,Action now before it gets worser,3
681,feeling it bad,2
682,I think the cost of living decreasing is good for the community as many people suffer from it,6
683,Its the government's fault,2
685,No comment,99
686,the price inflation needs to stop,2
690,Yes very worried,2
692,It'd nice,6
695,"Young people have it very difficult, it was a lot easier for the older generations at least they could afford a home",3
696,unsure,99
697,I would have to disagree somewhat. I think young people are becoming more hopeful because we have social media platforms to hear each others voices.young people are giving hope to other young people. The hope derives from the idea that the government could consist of our generation very soon,6
698,what is the reason for the deflation,4
699,Young people with big ideas can achieve big things,7
702,It’s heartbreaking,2
703,Let's be hopeful that things improve,5
